55408	16824	0.3036
5020	1988	0.3960
9044	5140	0.5683
7672	4384	0.5714
8708	5072	0.5825
44908	27300	0.6079
3304	2040	0.6174
95284	59020	0.6194
7572	4816	0.6360
6964	4488	0.6445
1665952288	1082265188	0.6496
8945432	5967516	0.6671
2220	1524	0.6865
2676	1952	0.7294
359308	262680	0.7311
23228	17492	0.7531
186572	142524	0.7639
117441156	90095224	0.7672
45796	35188	0.7684
60680	46936	0.7735
6276440	4868628	0.7757
5728	4516	0.7884
1308	1044	0.7982
51532	41996	0.8149
70132	57220	0.8159
4736	3900	0.8235
1388	1144	0.8242
2120	1748	0.8245
435192	360800	0.8291
150604	125148	0.8310
64108	53280	0.8311
42644	35712	0.8374
1472	1240	0.8424
1752	1488	0.8493
29696	25288	0.8516
15640	13372	0.8550
4100	3508	0.8556
46220	39596	0.8567
243861656	208948168	0.8568
1788	1532	0.8568
84876	72960	0.8596
134564	117688	0.8746
104524	91432	0.8747
4444	3896	0.8767
1296	1144	0.8827
2266120	2000492	0.8828
4144	3672	0.8861
1352	1200	0.8876
93264	82944	0.8893
34312	30528	0.8897
86508	77084	0.8911
276612	246584	0.8914
41772694	37343107	0.8940
1624	1452	0.8941
1260	1128	0.8952
49280	44204	0.8970
7644	6872	0.8990
1412	1272	0.9008
282708	254960	0.9018
11016	9936	0.9020
2472	2232	0.9029
1652	1492	0.9031
164516	148648	0.9035
5008	4528	0.9042
14577496	13225032	0.9072
9919080	9005496	0.9079
92588	84064	0.9079
10911000	9906576	0.9079
11898740	10805464	0.9081
8815340	8006132	0.9082
9695328	8806228	0.9083
13226964	12015396	0.9084
12122592	11014004	0.9086
13223908	12016628	0.9087
44270280	40294464	0.9102
15394532	14015016	0.9104
10566152	9619968	0.9105
2464	2244	0.9107
230192	209724	0.9111
5088	4636	0.9112
14080	12852	0.9128
719576	658188	0.9147
62991872	57763964	0.9170
35056	32172	0.9177
622012	571116	0.9182
28056	25776	0.9187
1436	1320	0.9192
32200	29632	0.9202
3264	3004	0.9203
77404	71284	0.9209
2334816	2153932	0.9225
20868	19252	0.9226
18296760	16886780	0.9229
2336112	2166792	0.9275
1384	1284	0.9277
176840	164268	0.9289
3836	3568	0.9301
1688	1572	0.9313
3180	2968	0.9333
2632	2460	0.9347
138412	129388	0.9348
29516	27632	0.9362
20172	18888	0.9363
20172	18888	0.9363
42887564	40159908	0.9364
1208	1132	0.9371
29640	27784	0.9374
10306944	9677912	0.9390
42747280	40163360	0.9396
10272224	9652244	0.9396
7456	7020	0.9415
25099248	23678344	0.9434
3440	3248	0.9442
398492	376568	0.9450
25043112	23671004	0.9452
24432	23108	0.9458
102808	97416	0.9476
10405885	9862264	0.9478
24987060	23692960	0.9482
1964	1864	0.9491
29768	28260	0.9493
7786888	7395284	0.9497
30380	28872	0.9504
2740	2604	0.9504
51489112	48978752	0.9512
15818440	15060488	0.9521
924248	882780	0.9551
258162204	246808116	0.9560
6004	5744	0.9567
1132	1084	0.9576
9008	8628	0.9578
2016	1932	0.9583
29276	28076	0.9590
13626596	13082240	0.9601
2984	2872	0.9625
407136	391904	0.9626
55524	53448	0.9626
11340	10916	0.9626
15791820	15202120	0.9627
89292	85976	0.9629
65364	62956	0.9632
4098488	3953380	0.9646
1395636	1346524	0.9648
6440	6216	0.9652
2838920	2740312	0.9653
10507784	10147812	0.9657
10748	10388	0.9665
3492	3376	0.9668
5762924	5571808	0.9668
23138680	22372016	0.9669
5224	5052	0.9671
1460932	1413088	0.9673
1469668	1421876	0.9675
1384	1340	0.9682
467840	452992	0.9683
23640327	22914360	0.9693
78280	75972	0.9705
1764	1712	0.9705
5165016	5016324	0.9712
5780960	5616880	0.9716
3180540	3090716	0.9718
2420	2352	0.9719
27522792	26750936	0.9720
76512	74384	0.9722
246776	239980	0.9725
176960	172180	0.9730
1208	1176	0.9735
1778704	1732480	0.9740
2110504	2056316	0.9743
4552	4436	0.9745
1756	1712	0.9749
1300	1268	0.9754
3120	3044	0.9756
16628	16228	0.9759
10654676	10398848	0.9760
2512	2452	0.9761
1384	1352	0.9769
6364	6220	0.9774
157996	154492	0.9778
78100	76376	0.9779
1389332	1358980	0.9782
1324	1296	0.9789
2524	2472	0.9794
5389944	5280836	0.9798
98676	96728	0.9803
3276	3212	0.9805
12490220	12248052	0.9806
3888404	3813844	0.9808
4310840	4228044	0.9808
3388	3324	0.9811
93832	92104	0.9816
19520	19164	0.9818
