0.0681	0.0681
0.0744	0.0744
0.0805	0.0805
0.0904	0.0567
0.0914	0.0914
0.1371	0.1371
0.2100	0.2100
0.2547	0.2547
0.2585	0.2585
0.2590	0.2590
0.2601	0.2600
0.2615	0.2612
0.2629	0.2629
0.3340	0.3340
0.3355	0.3258
0.3834	0.3830
0.3923	0.3923
0.4071	0.2799
0.4567	0.4567
0.4676	0.4515
0.4774	0.4532
0.5110	0.4469
0.5110	0.4469
0.5234	0.5234
0.5276	0.4008
0.5603	0.5603
0.5652	0.5618
0.6047	0.5700
0.6115	0.6106
0.6229	0.4828
0.6410	0.6410
0.6576	0.6482
0.6678	0.5058
0.6695	0.6680
0.6782	0.5025
0.6797	0.5467
0.6939	0.6899
0.7057	0.7048
0.7209	0.5720
0.7240	0.6267
0.7253	0.7171
0.7276	0.7091
0.7373	0.7140
0.7380	0.6634
0.7519	0.7514
0.7569	0.7170
0.7616	0.7616
0.7734	0.7682
0.7771	0.7771
0.7852	0.7755
0.7870	0.7870
0.8078	0.7655
0.8154	0.6057
0.8182	0.7610
0.8258	0.8246
0.8268	0.8226
0.8403	0.7070
0.8434	0.7358
0.8437	0.7364
0.8467	0.8422
0.8548	0.8442
0.8552	0.8552
0.8559	0.8541
0.8559	0.8559
0.8598	0.8569
0.8605	0.7816
0.8655	0.8613
0.8705	0.8452
0.8710	0.8707
0.8774	0.8774
0.8797	0.7595
0.8804	0.8786
0.8928	0.8928
0.8979	0.8194
0.8993	0.8870
0.9222	0.8320
0.9234	0.9209
0.9266	0.8667
0.9329	0.9329
0.9335	0.9259
0.9336	0.9011
0.9356	0.9346
0.9368	0.9314
0.9372	0.9372
0.9426	0.9405
0.9442	0.8027
0.9447	0.9235
0.9454	0.9389
0.9460	0.8906
0.9478	0.9419
0.9490	0.9490
0.9532	0.9532
0.9543	0.9527
0.9555	0.9519
0.9557	0.9557
0.9580	0.8861
0.9593	0.9593
0.9619	0.9342
0.9678	0.9609
0.9683	0.9683
0.9691	0.9691
0.9697	0.9682
0.9700	0.9700
0.9725	0.9668
0.9751	0.8977
0.9770	0.9619
0.9774	0.9136
0.9783	0.9736
0.9783	0.9783
0.9788	0.9512
0.9790	0.8764
0.9791	0.9430
0.9796	0.9776
0.9807	0.8961
0.9813	0.9764
0.9814	0.9532
0.9827	0.9279
0.9833	0.9736
0.9843	0.9842
0.9850	0.9850
0.9858	0.9849
0.9867	0.9738
0.9868	0.9861
0.9887	0.8034
0.9894	0.9893
0.9903	0.9768
0.9905	0.9887
0.9914	0.9914
0.9924	0.9887
0.9927	0.9927
0.9928	0.8504
0.9929	0.9457
0.9931	0.9202
0.9952	0.9952
0.9953	0.9914
0.9957	0.9954
0.9964	0.9457
0.9965	0.9965
0.9968	0.9689
0.9971	0.9945
0.9972	0.9965
0.9973	0.9964
0.9979	0.9940
0.9982	0.9814
0.9984	0.9984
0.9987	0.9987
